j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
20,        ,          QUNQNA #2,NA,        Asefa Dukamo,Ethiopian Landrace,"Bensa, Sidama","1,900-2100 masl","January, 2020",Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact and without fermentation for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo,Sey Coffee," florals,  melons,  stone fruit, tropicals"
21,        ,          GABRIEL CHURA ,NA,        San Gabriel,Red and Yellow Catuai,"Uchumachi, Caranavi","1,425 masl","September, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 18 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/san-gabriel,Sey Coffee," citrus acidity,  plum fruits,  softer,  with an almost cane sugar sweetness, blackberry"
22,        ,          JHON WILSON POVEDA,NA,        Finca Danny,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Mitaca; June, 2019 ",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-mitaca,Sey Coffee," a nice articulated lemon zest acidity,  body,  chocolaty sweetness,  love from Jhon Wilson Poveda: heavy currant fruit, know"
23,        ,          Enrique Merino,NA,        LUGMAPATA,Mejorado,Pallatanga,"1,700 masl","August, 2021",Hand picked at peak ripeness. Floated. Held for 24 hours in cherry. Depulped. Wet fermented for five days. Washed. Dried in the sun for five hours and then three days in a mechanical dryer.,https://www.seycoffee.com/collections/archived-coffees/products/enrique-merino-2022,Sey Coffee," as well as having a lively citrus-like acidity, variety"
24,        ,        Odola TebeArowacho,WASHED,        Ethiopia,Ethiopian Landrace,"Uraga, Guji","2,100 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Wet fermented for 12-14 hours. Dried on raised beds for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/odola-tebearowacho,Sey Coffee," peach ,  sparkling lemonade, candy"
25,        ,          FLOR MILENA ,NA,        Finca Danny,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Main; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/flor-milena,Sey Coffee," a lively acidity,  with deep sweetness, fruits"
26,        ,          Mario Moreno,NA,        Mas Morenos,"Pacas, Cataui",Santa Bárbara,"1,650 masl","May, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/mas-morenos-1,Sey Coffee," balance,  has excellent depth of structure, sweetness-focused"
27,        ,          Hada Molecha,NA,        ,Ethiopian Landrace,"Gedeo, Yirgacheffe","2,150 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36-72 hours. Dried on raised beds for 9-12 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/hada-molecha,Sey Coffee," pink lemonade,  plum, verbena"
28,        ,          Gore Dako,NA,        ,Ethiopian Landrace,Agaro Gera,"2,100 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped on a Penagos eco-pulper on the day of harvest. Soaked overnight. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/gore-dako,Sey Coffee," peach,  wildflower honey, lemon"
29,        ,          ENRIQUE MERINO,NA,        Lugmapata,Sidra,Pallatanga,"1,700 masl","July - September, 2020",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-sidra-2020,Sey Coffee," a whisper of delicate florals,  almost wine-like acidity,  red berries, heavy"
30,        ,          KADIR JABRIL,NA,        Wate Gogugu,Ethiopian Landrace,"Uraga, Guji","2,000 - 2,280 masl","January, 2021",Hand picked at peak ripeness. Fermented underwater for 36-48 hours. Washed and soaked in clean water. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/wate-gogugu,Sey Coffee," a lively citrus acidity,  packed with intoxicating honeysuckle,  passion fruit, complex"
31,        ,          Pitalito,NA,        DECAFFEINATED,"Caturra, V. Colombia, Castillo","Pitalito, Huila","1,500 - 1,800 masl ","July, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 12-30 hours. Dried on parabolic dryers for 20 days. Decaffeinated with ethyl acetate.,https://www.seycoffee.com/collections/archived-coffees/products/pitalito-decaf,Sey Coffee," chocolate,  cream, fruits"
32,        ,        Hamasho ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,300 masl","Janurary, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36-72 hours. Dried on raised beds for 9-12 days until the coffee reaches ~10% moisture content.,https://www.seycoffee.com/collections/archived-coffees/products/hamasho-2022,Sey Coffee," expressive,  nectarine,  refreshing profile of jasmine,  with a very long limeade finish, floral"
33,        ,          Mapendo,NA,        BUCHIRO & CHEBUMBA,SL34,"Chebumba, Kalehe, South Kivu","1,480 - 2,000 masl","June, 2021","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 12 hours, then wet fermented for an additional 24 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.",https://www.seycoffee.com/collections/archived-coffees/products/mapendo,Sey Coffee," darker plum fruits,  rose,  subtle nuances of lemon, spices"
34,        ,          Jesus Antonio Saavedra,NA,        El Placer,Castillo,"San Antonio, Tolima","2,125 masl","Mitaca; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-castillo-2020,Sey Coffee," clarity,  has excellent sweetness, fruits"
35,        ,          Ulises Cerron,NA,        EL AGUACATE,"Gesha, Castillo","El Tablón de Gómez, Nariño","2,100 masl","July, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Wet fermented for 17 hours. Washed. Dried on parabolic dryers for 20 days.,https://www.seycoffee.com/collections/archived-coffees/products/ulises-cerron,Sey Coffee," a subtle florality,  an elegant,  articulated red berries,  refreshing acidity, refined"
36,        ,        Teshome Gemechu,WASHED,        Ethiopia,Ethiopian Landrace,"Gedeb, Gedeo","2,000 - 2,200 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 48 hours. Dried on raised beds for 20 days until moisture content reaches approximately 10%.,https://www.seycoffee.com/collections/archived-coffees/products/teshome-gemechu,Sey Coffee," subtle florality,  with a lemon/lime-like acidity, fruit"
37,        ,          Mabel Moreno,NA,        PIEDRAS AMARILLAS,Pacas,Santa Bárbara,"1,650 masl","April, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/mabel-moreno-2022,Sey Coffee," black raspberry,  orange blossom honey, lychee"
38,        ,          QUNQNA #2,NA,        Asefa Dukamo,Ethiopian Landrace,"Bensa, Sidama","1,900-2,100 masl","January, 2021",Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo-2021,Sey Coffee," florals,  melons,  stone fruit, tropicals"
39,        ,          Oscar & Diego Hoyos,NA,        LA FORTUNA,Pink Bourbon,"La Argentina, San Agustín, Huila","1,815 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Washed. Dried in parabolic dryers for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/oscar-diego-hoyos-2022,Sey Coffee," excellent structure,  nuanced acidity,  ripe red fruits, articulated"
40,        ,          Kadir Jabril,NA,        WATE GOGUGU,Ethiopian Landrace,"Uraga, Guji","2,000 - 2,280 masl","December, 2021",Hand picked at peak ripeness. Fermented underwater for 36-48 hours. Washed and soaked in clean water. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/kadir-jabril,Sey Coffee," a lively citrus acidity,  passion fruit, honeysuckle"
41,        ,          MARLENY OLAYA MURCIA,NA,        El Baisero,"Caturra, Colombia, Typica","Berlin, Planadas, Tolima","2,114 masl","August, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24-36 hours. Dried on raised beds for 15-20 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-baisero,Sey Coffee," panela,  stone fruit, cherry"
42,        ,          Jose Arcadio Caro,NA,        LA CEDRA,Chiroso,"Anza, Antiquia","2,300 masl","February, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Depulped coffee is collected and fermented over the course of five days in a process called ‘cochada'. Dried on raised beds until moisture content reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/jose-arcadio-caro,Sey Coffee," passion fruit,  white florals, jam"
43,        ,          SINFOROSO RAMOS,NA,        Finca Paraiso,Caturra,Tarqui,"2,000 masl","June, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-paraiso,Sey Coffee," papaya-like florality,  rounds out with a satisfyingly ripe plum sweetness, tea"
44,        ,          Raul Perez,NA,        LA LLANO,Gesha,Acatenango,"1,650 masl","March, 2022",Hand picked at peak ripeness. Floated to further remove defects. Held in cherry to ferment for 15 hours. Depulped. Dry fermented in sealed bins for 42 hours. Washed. Dried on raised beds for 25 days until moisture reaches ~10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/raul-perez-gesha,Sey Coffee," a unique malic acidity,  white peach, jasmine"
45,        ,          Astrid Medina,NA,"        BUENA VISTA, LOT #3","Castillo, Caturra, V. Colombia","Gaitania, Planadas, Tolima","2,000 masl","August, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/astrid-medina-field-blend-3,Sey Coffee," honeysuckle,  yellow tropicals, peach"
46,        ,        Gatomboya,WASHED,        Kenya,"SL28, SL32, Ruiru 11, Batian",Nyeri,"1,770 masl","January, 2020","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Density graded and separated. Dry fermented for 16-24 hours. Washed, and again density graded into AA and AB. Soaked under clean water from the Gatomboya Stream for 8-14 hours. Dried on raised beds until moisture content reaches 10.4%.",https://www.seycoffee.com/collections/archived-coffees/products/gatomboya,Sey Coffee," a bright Kenyan acidity,  ripe plum with a tropical fruit complexity, round"
47,        ,          LA FAMILIA RODRIGUEZ,NA,        Floripondio,Caturra,"Samaipata, Santa Cruz","1,710 masl","June, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 25 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/floripondio-caturra,Sey Coffee," papaya,  some fruit notes of plum,  sweet with a nice tea like florality, elegant"
48,        ,          Muda Tatesa,NA,        ,Ethiopian Landrace,"Uraga, Guji","2,352 masl","January, 2022",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 72 hours. Dried on raised beds for 12 days until moisture content reaches approximately 10%.,https://www.seycoffee.com/collections/archived-coffees/products/muda-tatesa-2022,Sey Coffee," bergamot,  white florals, peach"
49,        ,          OSWALDO ACEVEDO,NA,        El Roble,HR61,"Mesa de los Santos, Santander","1,700 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 18 hours. Dried on raised beds until moisture content reaches approximately 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/oswaldo-acevedo,Sey Coffee," cream complexity,  mango,  rose water,  with a peach, lily"
50,        ,          GUDUBA WET MILL,NA,        Benti Nenka,Ethiopian Landrace,"Hambela Wamena, Guji","1,925 - 2,110 masl","October, 2020",Harvested at peak ripeness. Floated. Depulped. Wet fermented for 36-48 hours. Dried on raised beds for 10-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/benti-nenka-2021,Sey Coffee," excellent complexity of fruits—ripe peach,  melon—and a long vanilla finish,  star fruit, acidity"
