j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
31,        Geta Bore,        ,WASHED,        Ethiopia,Ethiopian Landrace,"Gomma, Jimma","2,000 - 2,100 masl","January, 2021",Hand picked at peak ripeness. Floated to further remove defects. Depulped using an eco-pulper. Soaked in clean water for 12 hours. Grade 1 density separated. Dried on raised beds for 9-14 days.,https://www.seycoffee.com/collections/archived-coffees/products/geta-bore,Sey Coffee," a peach,  citrus complexity,  intense jasmine aromatics, sweetness"
32,        Buena Vista,        DAMIAN BOLAÑOS,WASHED,        Colombia,"Caturra, V. Colombia","La Muralla, San Agustín, Huila","1,843 masl","July - August, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Dried in raised parabolic driers.,https://www.seycoffee.com/collections/archived-coffees/products/buena-vista,Sey Coffee," citrus, watermelon"
33,        Finca Danny,        JHON WILSON POVEDA,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Main; December, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-2020,Sey Coffee," depth,  elegant yet bright citrus-like acidities,  we find forest berries,  with a cocoa complexity, cup"
34,        Ninga Hill,        BUKEYE,WASHED,        Burundi,Field Blend,Muramvya,"1,800 - 2,000 masl","March 8th - May 14th, 2020",Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Single-fermented dry for 12 hours. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/ninga-hill,Sey Coffee," a very uplifting lemon acidity,  red tea,  spice, fruits"
35,        Harbegona,        HELEANNA GEORGALIS ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,300 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Wet fermented for 12-14 hours. Dried on raised beds for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/harbegona-1,Sey Coffee," elegant with a bright,  lively acidity, delicate"
36,        Bensa Logita,        HELEANNA GEORGALIS ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,100 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Anaerobic fermented for 60 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/bensa-logita,Sey Coffee," passion fruit,  we taste ripe mango,  with an effervescent citrus acidity, cup"
37,        La Esperanza,        ESNAIDER ORTEGA,WASHED,        Colombia,Yellow Caturra,"San Agustín, Huila ","1,750 masl ","Mitaca; January, 2020","Hand picked at peak ripeness. Floated to further remove defects and pulped on the day of harvest. Dry fermented in oak barrels for 30 hours. Wood is used because it is how Esnaider’s grandfather used to ferment, and its porous nature potentially supports more microbiological activity, and therefore more interesting fermentation. The coffee is then hung to dry in sacks, and left to ferment for another 8 hours without mucilage. Dried for 34-40 days.",https://www.seycoffee.com/collections/archived-coffees/products/la-esperanza-2020,Sey Coffee," a cocoa finish,  balanced acidity,  soft,  with ripe cherry, sweetness-driven"
38,        Giakanja AA,        ,WASHED,        Kenya,"SL28, SL34, Ruiru 11",Nyeri,"1,700 - 1,800 masl","December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 16-24 hours. Soaked in clean water for an additional 24 hours. Dried on raised beds for 10-18 days.,https://www.seycoffee.com/collections/archived-coffees/products/giakanja-aa,Sey Coffee," a softer—almost delicate—melon finish,  mango,  pink grapefruit,  we find intense acidity, cup"
39,        Finca El Mirador,        Jose Canacue,Washed,        Colombia,V. Colombia,"Aipe, Huila","1,940 masl","June - August, 2019","Hand picked at peak ripeness. Floated. Depulped. 12-hour fermentation in cherry, followed by a 40-hour dry fermentation. Dried on parabolic dryers until moisture content reaches 10.7%.",https://www.seycoffee.com/collections/archived-coffees/products/el-mirador,Sey Coffee," a delicate lemongrass acidity,  a ripe orange chocolate body, sweetness"
40,        El Placer,        Jesus Antonio Saavedra,WASHED,        Colombia,Red Caturra,"San Antonio, Tolima","2,125 masl","Mitaca; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-red-caturra-2020,Sey Coffee," forest berries,  notes of red tea, acidities"
41,        La Casita,        Gustavo & Adriana,Washed,        Colombia,Caturra,"La Cartagena, Urrao, Antioquia","1,950 masl","November, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Wet fermented for 48 hours in tanks. Dried on raised beds until moisture content reaches between 10%-11%.,https://www.seycoffee.com/collections/archived-coffees/products/gustavo-adriana-caturra,Sey Coffee," a dynamic pomegranate,  a very long,  almost tropical complexity,  currant,  satisfyingly ripe finish, sweetness"
42,        Sebastian Trujillo,        FINCA GLOBITO,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Peñas Negras, Tarqui, Huila","1,700 masl","Mitaca; November, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 40 hours. Dried on raised beds for 20-30 days.,https://www.seycoffee.com/collections/archived-coffees/products/sebastian-trujillo,Sey Coffee," a lightly oxidized oolong florality,  a soft nuanced citrus acidity,  vanilla, fruit"
43,        Finca Bianca,        JOSÉ OSORIO,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Triunfo, Tarqui, Huila","1,850 masl","November, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 36 hours. Washed twice in clean water. Dried on raised beds for 15-20 days.,https://www.seycoffee.com/collections/archived-coffees/products/jose-osorio,Sey Coffee," a delicate florality,  a subtle citrus acidity,  berries,  more fruit forward profile of grape, sweet"
44,        Angamaza,        Angel Capa Carrion,Washed,        Ecuador,"Caturra, Typica, San Salvador","Conganama, Loja","2,080 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 36 hours. Dried on raised beds for 10 days until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/angamaza,Sey Coffee," an excellent depth of sweetness,  has well balanced acidity, fruit-forward"
45,        El Pino,        MARIA LUNID ASCENCIO,WASHED,        Colombia,Variety Colombia,"Acevedo, Huila ","1,750 masl","Main; December, 2019","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, pulped, and dry fermented for an additional 36 hours. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/el-pino,Sey Coffee," citrus,  we find currants,  wine, cup"
46,        Piedras Amarillas,        Mario Moreno,Washed,        Honduras,Pacas,Santa Bárbara,"1,650 masl",May 2019,Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas,Sey Coffee," is slightly more delicate,  oxidized oolong tea with lemony acidity,  pushing into a light, sweetness"
47,        Buena Vista,        KEDVIN MORENO,WASHED,        Honduras,Pacas,Santa Bárbara,"1,540 masl","May, 2020","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24 hours, then washed three times. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/kedvin-moreno,Sey Coffee," a complex dynamic acidity,  raspberry,  strawberry,  we taste lively red fruit, cup"
48,        Samarcanda,        FIDEL ROJAS,WASHED,        Colombia,Pink Bourbon,"Acevedo, Huila","1,480 masl","Main; December, 2019","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, then fermented pulped for 30 hours. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/samarcanda,Sey Coffee," delicate florals,  very sweet finish,  with a clean, apple"
49,        Finca Bitalina,        Bitalina Lopez,Washed,        Honduras,"50% Pacas, 50% Bourbon",Santa Bárbara,"1,750 masl","May, 2020",Harvested at peak ripeness. Floated. Dry fermented for 22 hours. Manually washed six times with clean water. Dried on raised beds for 15 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-bitalina,Sey Coffee,{mso-data-placement:same-cell;}-->
50,        El Paraïso,        ERNEDIS RODRIGUEZ,WASHED,        Colombia,Caturra,Gigante,"1,840 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 24 hours. Dry fermented for 36 hours. Dried in parabolic dryers for 18-25 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-paraiso,Sey Coffee," lemon candy,  molasses,  this 100% Caturra lot is sweetness-forward; we taste panela, cup"
