j,CoffeeName,Producer,Process,Country,VARIETAL,REGION,ALTITUDE,HARVET,PROCESING,URL,Roaster,TastingNotes
11,        Alasitas,        LA FAMILIA RODRIGUEZ,WASHED,        Bolivia,Caturra,"La Paz, Caranavi","1,600 masl","June, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 20 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/alasitas,Sey Coffee,"chocolate, rose, articulation"
12,        Asefa Dukamo,        QUNQNA #2,HONEY,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","1,900-2100 masl","January, 2020",Hand picked at peak ripeness. Floated to remove defects. Depulped. Grade 1 density separated. Honey processed; dried on raised beds with mucilage intact and without fermentation for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/asefa-dukamo,Sey Coffee,"floral, melon, stone fruit, tropical"
13,        San Gabriel,        GABRIEL CHURA ,WASHED ,        Bolivia,Red and Yellow Catuai,"Uchumachi, Caranavi","1,425 masl","September, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 18 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/san-gabriel,Sey Coffee,"citrus, plum, cane sugar, blackberry"
14,        Finca Danny,        JHON WILSON POVEDA,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Mitaca; June, 2019 ",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-mitaca,Sey Coffee,"lemon zest, chocolate, currant"
15,        Finca Danny,        FLOR MILENA ,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Main; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/flor-milena,Sey Coffee,"acidity, sweetness, fruits"
16,        Mas Morenos,        Mario Moreno,Washed,        Honduras,"Pacas, Cataui",Santa BÃ¡rbara,"1,650 masl","May, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/mas-morenos-1,Sey Coffee,"balance, structure, sweetness"
17,        El Placer,        Jesus Antonio Saavedra,Washed,        Colombia,Castillo,"San Antonio, Tolima","2,125 masl","Mitaca; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-castillo-2020,Sey Coffee,"clarity, sweetness, fruits"
18,        El Baisero,        MARLENY OLAYA MURCIA,WASHED,        Colombia,"Caturra, Colombia, Typica","Berlin, Planadas, Tolima","2,114 masl","August, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24-36 hours. Dried on raised beds for 15-20 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-baisero,Sey Coffee,"panela, stone fruit, cherry"
19,        Finca Paraiso,        SINFOROSO RAMOS,WASHED,        Colombia,Caturra,Tarqui,"2,000 masl","June, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-paraiso,Sey Coffee,"papaya, plum, tea"
20,        Gatomboya,        ,WASHED,        Kenya,"SL28, SL32, Ruiru 11, Batian",Nyeri,"1,770 masl","January, 2020","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Density graded and separated. Dry fermented for 16-24 hours. Washed, and again density graded into AA and AB. Soaked under clean water from the Gatomboya Stream for 8-14 hours. Dried on raised beds until moisture content reaches 10.4%.",https://www.seycoffee.com/collections/archived-coffees/products/gatomboya,Sey Coffee,"acidity, plum, tropical fruit"
21,        Floripondio,        LA FAMILIA RODRIGUEZ,WASHED,        Bolivia ,Caturra,"Samaipata, Santa Cruz","1,710 masl","June, 2019",Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 25 hours. Dried on raised beds for 25 days.,https://www.seycoffee.com/collections/archived-coffees/products/floripondio-caturra,Sey Coffee,"papaya, plum, tea"
22,        Mazateca #1,        ,WASHED,        Mexico,"Typica, Bourbon","Sierra Mazateca, Oaxaca","1,800 - 2,000 masl","July, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24-36 hours. Dried on raised beds for 10-15 days.,https://www.seycoffee.com/collections/archived-coffees/products/mazateca-1,Sey Coffee,"lemon, blackberry, plum, syrup"
23,        Reina De Saba; Mitaca Harvesta,        ALEJANDRO RENJIFO,WASHED,        Colombia,Gesha,"Santa Monica, San AgustÃ_n","1,800 masl","Mitaca; November, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/reina-de-saba-mitaca-gesha-2020,Sey Coffee,"bergamot, peach, honeysuckle, jasmine"
24,        El Progresso,        YAMIR ANACONA,WASHED,        Colombia,"V. Colombia, Caturra","Alto Horizonte, Suaza, Huila","1,650 masl","October, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 22 hours. Dried on raised beds until moisture content is between 10% - 11%.,https://www.seycoffee.com/collections/archived-coffees/products/el-progresso,Sey Coffee,"violet, cherry, raspberry, strawberry"
25,        Buesaco,        THREE PRODUCER BLEND,WASHED,        Colombia,Caturra,"Buesaco, NariÃ±o","2,000 - 2,100 masl","June, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 13-16 hours. Dried on raised beds for 12-18 days.,https://www.seycoffee.com/collections/archived-coffees/products/buesaco,Sey Coffee,"citrus, stone fruit, clean"
26,        Finca El Meridiano,        MARIO JOSE HERVAS,WASHED,        Ecuador,Mejorado,Quito,"1,450 masl","June - October, 2019",Hand-picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented in tanks for 18-20 hours. Dried on raised beds for 12-18 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-el-meridiano,Sey Coffee,"honeysuckle, raspberry, juicy"
27,        Lugmapata,        ENRIQUE MERINO,WASHED,        Ecuador,Mejorado,Pallatanga,"1,700 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Held for 24 hours in-cherry. Depulped. Dry fermented for another 48 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/lugmapata-mejorado,Sey Coffee,"jasmine, lemongrass, bergamot"
28,        Buena Vista,        DAMIAN BOLAÃ‘OS,WASHED,        Colombia,"Caturra, V. Colombia","La Muralla, San AgustÃ_n, Huila","1,843 masl","July - August, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Dry fermented for 24 hours. Dried in raised parabolic driers.,https://www.seycoffee.com/collections/archived-coffees/products/buena-vista,Sey Coffee,"citrus, watermelon"
29,        Finca Danny,        JHON WILSON POVEDA,WASHED,        Colombia,"V. Colombia, Castillo, Caturra","Acevedo, Huila","1,700 masl","Main; December, 2019",Harvested at peak ripeness. Floated. Depulped. Dry fermented for 35 hours. Dried on raised beds for 30 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-danny-2020,Sey Coffee,"citrus, forest berries, cocoa"
30,        Harbegona,        HELEANNA GEORGALIS ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,300 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Grade 1 density separated. Wet fermented for 12-14 hours. Dried on raised beds for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/harbegona-1,Sey Coffee,"elegant, acidity, delicate"
31,        Bensa Logita,        HELEANNA GEORGALIS ,WASHED,        Ethiopia,Ethiopian Landrace,"Bensa, Sidama","2,100 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects. Depulped. Anaerobic fermented for 60 hours. Washed. Dried on raised beds for 16 days.,https://www.seycoffee.com/collections/archived-coffees/products/bensa-logita,Sey Coffee,"passion fruit, mango, citrus"
32,        La Esperanza,        ESNAIDER ORTEGA,WASHED,        Colombia,Yellow Caturra,"San AgustÃ_n, Huila ","1,750 masl ","Mitaca; January, 2020","Hand picked at peak ripeness. Floated to further remove defects and pulped on the day of harvest. Dry fermented in oak barrels for 30 hours. Wood is used because it is how Esnaiderâ€™s grandfather used to ferment, and its porous nature potentially supports more microbiological activity, and therefore more interesting fermentation. The coffee is then hung to dry in sacks, and left to ferment for another 8 hours without mucilage. Dried for 34-40 days.",https://www.seycoffee.com/collections/archived-coffees/products/la-esperanza-2020,Sey Coffee,"cocoa, acidity, cherry, sweetness"
33,        Giakanja AA,        ,WASHED,        Kenya,"SL28, SL34, Ruiru 11",Nyeri,"1,700 - 1,800 masl","December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 16-24 hours. Soaked in clean water for an additional 24 hours. Dried on raised beds for 10-18 days.,https://www.seycoffee.com/collections/archived-coffees/products/giakanja-aa,Sey Coffee,"melon, mango, pink grapefruit"
34,        Finca El Mirador,        Jose Canacue,Washed,        Colombia,V. Colombia,"Aipe, Huila","1,940 masl","June - August, 2019","Hand picked at peak ripeness. Floated. Depulped. 12-hour fermentation in cherry, followed by a 40-hour dry fermentation. Dried on parabolic dryers until moisture content reaches 10.7%.",https://www.seycoffee.com/collections/archived-coffees/products/el-mirador,Sey Coffee,"lemongrass, orange chocolate, sweetness"
35,        El Placer,        Jesus Antonio Saavedra,WASHED,        Colombia,Red Caturra,"San Antonio, Tolima","2,125 masl","Mitaca; December, 2019",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-red-caturra-2020,Sey Coffee,"forest berries, red tea, acidity"
36,        Angamaza,        Angel Capa Carrion,Washed,        Ecuador,"Caturra, Typica, San Salvador","Conganama, Loja","2,080 masl","July - September, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 36 hours. Dried on raised beds for 10 days until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/angamaza,Sey Coffee,"sweetness, acidity, fruit-forward"
37,        El Pino,        MARIA LUNID ASCENCIO,WASHED,        Colombia,Variety Colombia,"Acevedo, Huila ","1,750 masl","Main; December, 2019","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, pulped, and dry fermented for an additional 36 hours. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/el-pino,Sey Coffee,"citrus, currants, wine"
38,        Piedras Amarillas,        Mario Moreno,Washed,        Honduras,Pacas,Santa BÃ¡rbara,"1,650 masl",19-May,Harvested at peak ripeness. Floated. Depulped. Dry fermented for 24 hours. Washed. Dried on raised beds for 16 days. ,https://www.seycoffee.com/collections/archived-coffees/products/piedras-amarillas,Sey Coffee,"oolong tea, lemon, sweetness"
39,        Buena Vista,        KEDVIN MORENO,WASHED,        Honduras,Pacas,Santa BÃ¡rbara,"1,540 masl","May, 2020","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24 hours, then washed three times. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/kedvin-moreno,Sey Coffee,"raspberry, strawberry, red fruit"
40,        Samarcanda,        FIDEL ROJAS,WASHED,        Colombia,Pink Bourbon,"Acevedo, Huila","1,480 masl","Main; December, 2019","Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 12 hours, then fermented pulped for 30 hours. Dried on raised beds until moisture content reaches 10-11%.",https://www.seycoffee.com/collections/archived-coffees/products/samarcanda,Sey Coffee,"floral, sweet, clean, apple"
41,        Finca Bitalina,        Bitalina Lopez,Washed,        Honduras,"50% Pacas, 50% Bourbon",Santa BÃ¡rbara,"1,750 masl","May, 2020",Harvested at peak ripeness. Floated. Dry fermented for 22 hours. Manually washed six times with clean water. Dried on raised beds for 15 days.,https://www.seycoffee.com/collections/archived-coffees/products/finca-bitalina,Sey Coffee,{mso-data-placement:same-cell;}-->
42,        El ParaÃ¯so,        ERNEDIS RODRIGUEZ,WASHED,        Colombia,Caturra,Gigante,"1,840 masl","June, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Fermented in-cherry for 24 hours. Dry fermented for 36 hours. Dried in parabolic dryers for 18-25 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-paraiso,Sey Coffee,"lemon candy, molasses, panela"
43,        Mutana Hill,        HEZA,WASHED,        Burundi,Field Blend,Kayanza,"2,100 - 2,200 masl","May 16th - 18th, 2020","Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Double-fermented dry for 12 hours, then 24 hours submerged in water. Rinsed in fresh water. Density graded. Dried on traditional African raised beds for 16-20 days until moisture content reaches 10.5%.",https://www.seycoffee.com/collections/archived-coffees/products/mutana-hill,Sey Coffee,"concord grape, date, citrus"
44,        Pedro Gomez,        ,WASHED,        Mexico,"Typica, Bourbon","Tenejapa, Chiapas","1,600 masl","May, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 15-18 hours. Dried on raised beds for 7-10 days.,https://www.seycoffee.com/collections/archived-coffees/products/pedro-gomez,Sey Coffee,"coffee cherry, mango, lychee"
45,        El Placer,        Jesus Antonio Saavedra,Washed,        Colombia,Red Caturra,"San Antonio, Tolima","2,125 masl","Main; June, 2019",Hand picked at peak ripeness. Floated. Depulped. Wet fermented for 36 hours. Dried on raised beds until moisture content reaches 10.5%.,https://www.seycoffee.com/collections/archived-coffees/products/el-placer-red-caturra,Sey Coffee,"sweetness, tropical fruits, clean"
46,        El Porvenir,        JUAN PEÃ‘A,WASHED,        Colombia,Pink Bourbon,"Santa Barbara, Palestina ","1,700 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 24 hours. Dried on raised beds for 15-20 days.,https://www.seycoffee.com/collections/archived-coffees/products/el-porvenir,Sey Coffee,"berry, tropical fruits, lemon/lime"
47,        Putuchio,        FRANCISCO VINTIMILLA,WASHED,        Ecuador,Mejorado,"Saraguro, Loja","2,100 masl","July - August, 2020",Hand picked at peak ripeness. Floated and hand sorted to further remove defects; depulped on the day of harvest. Fermented in water for 18-24 hours. Dried in a parabolic dryer for 10-12 days.,https://www.seycoffee.com/collections/archived-coffees/products/francisco-vintimilla,Sey Coffee,"lilac, strawberry, citrus"
48,        La Fila,        GLORIA ARACELI,WASHED,        Peru,Yellow Caturra,"La Lima, Chirinos, Cajamarca","1,800 masl","September - October, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 36 hours. Dried on raised beds for 12-15 days.,https://www.seycoffee.com/collections/archived-coffees/products/la-fila,Sey Coffee,"lilac, pineapple, cane sugar"
49,        Gaaki AA,        ,Washed,        Kenya,"SL28, SL34",Nyeri,"1,600 masl",19-Mar,Hand picked at peak ripeness. Floated. Depulped. Dry fermented for 18-24 hours. Dried on raised beds for 15-20 days.,https://www.seycoffee.com/collections/archived-coffees/products/gaaki-aa,Sey Coffee,"white grape, acidity, structure"
50,        El Casino,        JOSÃ‰ MARTINEZ,WASHED,        Colombia,Pink Bourbon,"Palesina, Huila ","1,750 masl","January, 2020",Hand picked at peak ripeness. Floated to further remove defects and depulped on the day of harvest. Dry fermented for 30 hours. Dried on raised beds.,https://www.seycoffee.com/collections/archived-coffees/products/el-casino,Sey Coffee,
